Tỉnh/TP,Tổng số ca,Hôm nay,Tử vong
TP. Hồ Chí Minh,381.390,+4.699,14.745
Bình Dương,208.852,+2.389,1.927
Đồng Nai,48.003,+899,393
Long An,32.315,+132,410
Tiền Giang,13.626,+68,339
Đồng Tháp,8.211,+1,146
Khánh Hòa,7.901,+32,90
Tây Ninh,7.871,+23,134
Bắc Giang,5.887,-,13
Cần Thơ,5.644,+42,90
Kiên Giang,5.595,+82,53
Đà Nẵng,5.416,+1,102
An Giang,4.757,+63,34
Hà Nội,4.469,+4,51
Bà Rịa – Vũng Tàu,4.292,+2,47
Bình Thuận,3.206,+29,58
Phú Yên,3.071,+2,34
Vĩnh Long,2.200,+7,43
Bến Tre,1.934,+3,49
Bắc Ninh,1.902,-,15
Nghệ An,1.825,-,16
Đắk Lắk,1.674,+15,7
Quảng Bình,1.588,+13,2
Trà Vinh,1.470,+3,17
Bình Phước,1.358,-,7
Bình Định,1.254,+11,12
Sóc Trăng,1.193,+112,21
Hải Dương,958,+1,1
Ninh Thuận,951,+14,8
Thừa Thiên Huế,821,-,11
Quảng Nam,807,-,8
Đắk Nông,717,+3,1
Gia Lai,578,+5,2
Hậu Giang,539,-,2
Thanh Hóa,491,-,4
Hà Tĩnh,464,-,5
Bạc Liêu,435,+22,2
Cà Mau,373,+12,5
Hưng Yên,363,-,1
Hà Nam,350,+36,0
Lâm Đồng,278,-,0
Vĩnh Phúc,256,-,3
Sơn La,252,-,0
Quảng Trị,229,+16,1
Lạng Sơn,215,-,1
Ninh Bình,172,-,0
Quảng Ninh,128,-,0
Thái Bình,126,-,0
Quảng Ngãi,123,+2,3
Lào Cai,100,-,0
Nam Định,73,-,1
Điện Biên,64,-,0
Hải Phòng,63,-,0
Hòa Bình,44,-,0
Phú Thọ,41,+1,0
Kon Tum,34,-,0
Hà Giang,24,-,0
Thái Nguyên,22,-,0
Tuyên Quang,9,-,0
Bắc Kạn,7,-,0
Yên Bái,7,-,0
Lai Châu,2,-,0
Cao Bằng,0,-,0
